fold,biomarker,target_index,iteration,negative_mll
0,hippocampus_left,14,22,0.6955687403678894
0,hippocampus_left,14,23,0.6883732080459595
0,hippocampus_left,14,24,0.6895971298217773
0,hippocampus_left,14,25,0.6912584900856018
0,hippocampus_left,14,26,0.6921054720878601
0,hippocampus_left,14,27,0.6803306341171265
0,hippocampus_left,14,28,0.6641321778297424
0,hippocampus_left,14,29,0.6595929861068726
0,hippocampus_left,14,30,0.6538317203521729
0,hippocampus_left,14,31,0.64825439453125
0,hippocampus_left,14,32,0.6537187695503235
0,hippocampus_left,14,33,0.6508766412734985
0,hippocampus_left,14,34,0.6379043459892273
0,hippocampus_left,14,35,0.6341233253479004
0,hippocampus_left,14,36,0.6301719546318054
0,hippocampus_left,14,37,0.6123581528663635
0,hippocampus_left,14,38,0.5984753966331482
0,hippocampus_left,14,39,0.5888946056365967
0,hippocampus_left,14,40,0.5893619060516357
0,hippocampus_left,14,41,0.5798136591911316
0,hippocampus_left,14,42,0.5684143304824829
0,hippocampus_left,14,43,0.5647149085998535
0,hippocampus_left,14,44,0.5633691549301147
0,hippocampus_left,14,45,0.5478520393371582
0,hippocampus_left,14,46,0.5434118509292603
0,hippocampus_left,14,47,0.5359596014022827
0,hippocampus_left,14,48,0.5360704064369202
0,hippocampus_left,14,49,0.5410149693489075
0,hippocampus_left,14,50,0.5399951934814453
0,hippocampus_left,14,51,0.5347921848297119
0,hippocampus_left,14,52,0.5357760190963745
0,hippocampus_left,14,53,0.5259320139884949
0,hippocampus_left,14,54,0.5265407562255859
0,hippocampus_left,14,55,0.5193751454353333
0,hippocampus_left,14,56,0.49775686860084534
0,hippocampus_left,14,57,0.5051192045211792
0,hippocampus_left,14,58,0.4950600266456604
0,hippocampus_left,14,59,0.48270389437675476
0,hippocampus_left,14,60,0.4837133586406708
0,hippocampus_left,14,61,0.4771905541419983
0,hippocampus_left,14,62,0.46179312467575073
0,hippocampus_left,14,63,0.459981769323349
0,hippocampus_left,14,64,0.4597410261631012
0,hippocampus_left,14,65,0.45117291808128357
0,hippocampus_left,14,66,0.45036062598228455
0,hippocampus_left,14,67,0.44826561212539673
0,hippocampus_left,14,68,0.45423710346221924
0,hippocampus_left,14,69,0.43582630157470703
0,hippocampus_left,14,70,0.43059733510017395
0,hippocampus_left,14,71,0.43176722526550293
0,hippocampus_left,14,72,0.42894256114959717
0,hippocampus_left,14,73,0.42369019985198975
0,hippocampus_left,14,74,0.4377138018608093
0,hippocampus_left,14,75,0.4395267069339752
0,hippocampus_left,14,76,0.43629366159439087
0,hippocampus_left,14,77,0.41877490282058716
0,hippocampus_left,14,78,0.4214462637901306
0,hippocampus_left,14,79,0.4237322509288788
0,hippocampus_left,14,80,0.3966938853263855
0,hippocampus_left,14,81,0.3984704911708832
0,hippocampus_left,14,82,0.3897710144519806
0,hippocampus_left,14,83,0.3840326964855194
0,hippocampus_left,14,84,0.38478896021842957
0,hippocampus_left,14,85,0.3796939253807068
0,hippocampus_left,14,86,0.3760618269443512
0,hippocampus_left,14,87,0.37303128838539124
0,hippocampus_left,14,88,0.3582804501056671
0,hippocampus_left,14,89,0.3583082854747772
0,hippocampus_left,14,90,0.3570699989795685
0,hippocampus_left,14,91,0.34370484948158264
0,hippocampus_left,14,92,0.3475736677646637
0,hippocampus_left,14,93,0.36185285449028015
0,hippocampus_left,14,94,0.36153921484947205
0,hippocampus_left,14,95,0.36018863320350647
0,hippocampus_left,14,96,0.35222509503364563
0,hippocampus_left,14,97,0.35647958517074585
0,hippocampus_left,14,98,0.33608561754226685
0,hippocampus_left,14,99,0.33416077494621277
0,hippocampus_left,14,100,0.34247031807899475
0,ventricle_right,17,1,1.343309760093689
0,ventricle_right,17,2,1.0066317319869995
0,ventricle_right,17,3,0.9393008947372437
0,ventricle_right,17,4,0.9225329160690308
0,ventricle_right,17,5,0.9043780565261841
0,ventricle_right,17,6,0.8767988085746765
0,ventricle_right,17,7,0.8618872165679932
0,ventricle_right,17,8,0.854844868183136
0,ventricle_right,17,9,0.8366097807884216
0,ventricle_right,17,10,0.8237867951393127
0,ventricle_right,17,11,0.8135009407997131
