fold,method,biomarker,alpha_used,qhat,rank,n_calibration_subjects
0,single_cp,hippocampus_right,0.1,16.543132781982422,188,207
0,bonferroni_cp,hippocampus_right,0.025,22.57552719116211,203,207
0,single_cp,hippocampus_left,0.1,15.589247703552246,188,207
0,bonferroni_cp,hippocampus_left,0.025,23.06302833557129,203,207
0,single_cp,ventricle_right,0.1,8.379547119140625,188,207
0,bonferroni_cp,ventricle_right,0.025,11.30170726776123,203,207
0,single_cp,ventricle_left,0.1,10.943349838256836,188,207
0,bonferroni_cp,ventricle_left,0.025,18.6976375579834,203,207
0,joint_cp,ALL,0.1,19.45619773864746,188,207
1,single_cp,hippocampus_right,0.1,16.982757568359375,188,207
1,bonferroni_cp,hippocampus_right,0.025,24.56545066833496,203,207
1,single_cp,hippocampus_left,0.1,19.732336044311523,188,207
1,bonferroni_cp,hippocampus_left,0.025,27.351186752319336,203,207
1,single_cp,ventricle_right,0.1,11.280397415161133,188,207
1,bonferroni_cp,ventricle_right,0.025,16.205434799194336,203,207
1,single_cp,ventricle_left,0.1,9.524723052978516,188,207
1,bonferroni_cp,ventricle_left,0.025,16.31077766418457,203,207
1,joint_cp,ALL,0.1,21.11614418029785,188,207
2,single_cp,hippocampus_right,0.1,15.330204963684082,188,207
2,bonferroni_cp,hippocampus_right,0.025,21.638614654541016,203,207
2,single_cp,hippocampus_left,0.1,19.178903579711914,188,207
2,bonferroni_cp,hippocampus_left,0.025,27.870058059692383,203,207
2,single_cp,ventricle_right,0.1,9.875263214111328,188,207
2,bonferroni_cp,ventricle_right,0.025,16.63788604736328,203,207
2,single_cp,ventricle_left,0.1,9.495762825012207,188,207
2,bonferroni_cp,ventricle_left,0.025,16.930721282958984,203,207
2,joint_cp,ALL,0.1,21.638614654541016,188,207
3,single_cp,hippocampus_right,0.1,17.379091262817383,188,207
3,bonferroni_cp,hippocampus_right,0.025,23.40472412109375,203,207
3,single_cp,hippocampus_left,0.1,14.398971557617188,188,207
3,bonferroni_cp,hippocampus_left,0.025,25.116436004638672,203,207
3,single_cp,ventricle_right,0.1,8.423995971679688,188,207
3,bonferroni_cp,ventricle_right,0.025,13.549280166625977,203,207
3,single_cp,ventricle_left,0.1,10.498008728027344,188,207
3,bonferroni_cp,ventricle_left,0.025,20.65776824951172,203,207
3,joint_cp,ALL,0.1,19.82537841796875,188,207
4,single_cp,hippocampus_right,0.1,12.835747718811035,188,207
4,bonferroni_cp,hippocampus_right,0.025,16.022151947021484,203,207
4,single_cp,hippocampus_left,0.1,17.9449405670166,188,207
4,bonferroni_cp,hippocampus_left,0.025,24.047290802001953,203,207
4,single_cp,ventricle_right,0.1,10.484847068786621,188,207
4,bonferroni_cp,ventricle_right,0.025,20.137439727783203,203,207
4,single_cp,ventricle_left,0.1,9.625229835510254,188,207
4,bonferroni_cp,ventricle_left,0.025,16.009830474853516,203,207
4,joint_cp,ALL,0.1,19.736661911010742,188,207
5,single_cp,hippocampus_right,0.1,12.4780912399292,188,207
5,bonferroni_cp,hippocampus_right,0.025,18.26485252380371,203,207
