method,biomarker,metric_scope,coverage_mean,coverage_std,width_mean,width_std,folds
bonferroni_cp,ALL_JOINT,joint,0.931304347826087,0.015310275531877412,1.5035990421861554,0.1032701894465124,10
bonferroni_cp,hippocampus_left,biomarker,0.9769565217391305,0.013603130469863535,1.8026242883697396,0.10276901017900515,10
bonferroni_cp,hippocampus_right,biomarker,0.9726086956521739,0.013290732194910572,1.6299320628159832,0.11622173138587376,10
bonferroni_cp,ventricle_left,biomarker,0.9778260869565217,0.009492477039891487,1.3161942539300742,0.14707681281005464,10
bonferroni_cp,ventricle_right,biomarker,0.9730434782608695,0.010610437807375694,1.2656455636288244,0.19311221084660943,10
joint_cp,ALL_JOINT,joint,0.9039130434782608,0.02295626555266216,1.4725418618655763,0.08332475585499942,10
joint_cp,hippocampus_left,biomarker,0.9417391304347825,0.025615711414824015,1.4244973476384046,0.11318403429288841,10
joint_cp,hippocampus_right,biomarker,0.9660869565217391,0.018537132701819687,1.535693941704899,0.1283974401622821,10
joint_cp,ventricle_left,biomarker,0.981304347826087,0.01313174642327457,1.3900370327040137,0.16527703824140563,10
joint_cp,ventricle_right,biomarker,0.9834782608695652,0.013408734499965689,1.539939125414988,0.18780373503066541,10
raw_dkgp,ALL_JOINT,joint,0.0008695652173913044,0.0018332044406773212,0.12332306568212947,0.002850304988566151,10
raw_dkgp,hippocampus_left,biomarker,0.033913043478260865,0.010410599997720562,0.11944700731811195,0.009501494699203535,10
raw_dkgp,hippocampus_right,biomarker,0.04521739130434783,0.01989259123104173,0.12886532679262802,0.011814971702118657,10
raw_dkgp,ventricle_left,biomarker,0.1334782608695652,0.025106368965959698,0.116133345666489,0.008510957906987877,10
raw_dkgp,ventricle_right,biomarker,0.15695652173913044,0.03358130825042592,0.1288465829512889,0.01328024729944595,10
single_cp,ALL_JOINT,joint,0.751304347826087,0.041490807205279624,0.9641843878483511,0.033928593740826435,10
single_cp,hippocampus_left,biomarker,0.9130434782608695,0.019117255011989756,1.2118630526789629,0.08187945579262523,10
single_cp,hippocampus_right,biomarker,0.9004347826086956,0.02791125251978623,1.1625851603955804,0.05297716944251566,10
single_cp,ventricle_left,biomarker,0.907391304347826,0.033430859220878045,0.7228258956757809,0.04333712045550574,10
single_cp,ventricle_right,biomarker,0.9039130434782608,0.026601211413115066,0.7594634426430804,0.042347992422287525,10
