fold,method,biomarker,metric_scope,trajectory_coverage,mean_width,median_width,mean_absolute_error,n_test_subjects
0,bonferroni_cp,hippocampus_right,biomarker,0.991304347826087,1.6649443331864717,1.481791221710381,0.14318532,230
0,bonferroni_cp,hippocampus_left,biomarker,0.9956521739130435,1.7199132385409606,1.533953745395376,0.15581673,230
0,bonferroni_cp,ventricle_right,biomarker,0.9565217391304348,1.0442811559114398,0.9169707671930958,0.11045279,230
0,bonferroni_cp,ventricle_left,biomarker,0.9565217391304348,1.1676033017882523,1.0353101013805972,0.10566343,230
0,joint_cp,hippocampus_right,biomarker,0.9782608695652174,1.4348938962097846,1.2770476088051481,0.14318532,230
0,joint_cp,hippocampus_left,biomarker,0.9521739130434783,1.450935739031236,1.294058480009756,0.15581673,230
0,joint_cp,ventricle_right,biomarker,0.991304347826087,1.7977585317674822,1.5785902204315576,0.11045279,230
0,joint_cp,ventricle_left,biomarker,0.9608695652173913,1.2149727819593066,1.0773124674608656,0.10566343,230
0,raw_dkgp,hippocampus_right,biomarker,0.0391304347826087,0.12130789690644182,0.10796335539704863,0.14318532,230
0,raw_dkgp,hippocampus_left,biomarker,0.043478260869565216,0.12266409628837122,0.10940147776681289,0.15581673,230
0,raw_dkgp,ventricle_right,biomarker,0.1608695652173913,0.15198497060331895,0.1334561811318986,0.11045279,230
0,raw_dkgp,ventricle_left,biomarker,0.1,0.10271546444469944,0.09107747275528205,0.10566343,230
0,single_cp,hippocampus_right,biomarker,0.9478260869565217,1.2200554585186254,1.0858425908887455,0.14318532,230
0,single_cp,hippocampus_left,biomarker,0.908695652173913,1.162559968886654,1.0368623129113406,0.15581673,230
0,single_cp,ventricle_right,biomarker,0.9173913043478261,0.7742726779477067,0.6798795587714039,0.11045279,230
0,single_cp,ventricle_left,biomarker,0.8826086956521739,0.6833746436761454,0.6059461039050635,0.10566343,230
1,bonferroni_cp,hippocampus_right,biomarker,0.9695652173913043,1.6737355736039425,1.4854913997942827,0.15545826,230
1,bonferroni_cp,hippocampus_left,biomarker,0.9826086956521739,1.92241435099944,1.7174790321416165,0.16002929,230
1,bonferroni_cp,ventricle_right,biomarker,0.9652173913043478,1.139252314684618,1.0224200840125164,0.11404971,230
1,bonferroni_cp,ventricle_left,biomarker,0.9826086956521739,1.2901340627417088,1.1436226111633196,0.1015961,230
1,joint_cp,hippocampus_right,biomarker,0.9565217391304348,1.4387214860858037,1.2769092250801624,0.15545826,230
1,joint_cp,hippocampus_left,biomarker,0.9652173913043478,1.4841761338394428,1.32595836508869,0.16002929,230
1,joint_cp,ventricle_right,biomarker,0.9826086956521739,1.4844782897040474,1.3322425577815338,0.11404971,230
1,joint_cp,ventricle_left,biomarker,0.9956521739130435,1.6702242800223532,1.4805486557639647,0.1015961,230
1,raw_dkgp,hippocampus_right,biomarker,0.02608695652173913,0.11206999887646464,0.0994655440987462,0.15545826,230
1,raw_dkgp,hippocampus_left,biomarker,0.021739130434782608,0.11561071358181005,0.1032862537488135,0.16002929,230
1,raw_dkgp,ventricle_right,biomarker,0.11304347826086956,0.1156342501785275,0.10377576438366366,0.11404971,230
1,raw_dkgp,ventricle_left,biomarker,0.16956521739130434,0.13010303592170427,0.11532814918851023,0.1015961,230
1,single_cp,hippocampus_right,biomarker,0.9173913043478261,1.1570984739430912,1.0269602073740032,0.15545826,230
1,single_cp,hippocampus_left,biomarker,0.9478260869565217,1.3869133479961808,1.2390640932025914,0.16002929,230
1,single_cp,ventricle_right,biomarker,0.9260869565217391,0.7930190719982171,0.7116936395607851,0.11404971,230
1,single_cp,ventricle_left,biomarker,0.9260869565217391,0.7533773006918802,0.6678215393968046,0.1015961,230
2,bonferroni_cp,hippocampus_right,biomarker,0.9739130434782609,1.702546441091944,1.5003285548362015,0.16426693,230
2,bonferroni_cp,hippocampus_left,biomarker,0.9695652173913043,1.7542817518949634,1.5800553129572688,0.17360392,230
2,bonferroni_cp,ventricle_right,biomarker,0.9652173913043478,1.2854228767925235,1.1362649366073185,0.1122764,230
2,bonferroni_cp,ventricle_left,biomarker,0.9826086956521739,1.3031276581992985,1.1413396513399903,0.10431477,230
2,joint_cp,hippocampus_right,biomarker,0.9739130434782609,1.702546441091944,1.5003285548362015,0.16426693,230
2,joint_cp,hippocampus_left,biomarker,0.908695652173913,1.3620433349455041,1.2267720424806292,0.17360392,230
2,joint_cp,ventricle_right,biomarker,0.9826086956521739,1.6717730978481466,1.477783838566964,0.1122764,230
2,joint_cp,ventricle_left,biomarker,0.991304347826087,1.665485880381873,1.4587097910679176,0.10431477,230
2,raw_dkgp,hippocampus_right,biomarker,0.0391304347826087,0.129418621912365,0.11404708223884819,0.16426693,230
2,raw_dkgp,hippocampus_left,biomarker,0.013043478260869565,0.10353536745847242,0.09325275558218166,0.17360392,230
2,raw_dkgp,ventricle_right,biomarker,0.16956521739130434,0.12707939428360548,0.11233335153491586,0.1122764,230
2,raw_dkgp,ventricle_left,biomarker,0.14782608695652175,0.12660147309419778,0.11088344280876428,0.10431477,230
2,single_cp,hippocampus_right,biomarker,0.9043478260869565,1.2061948659293233,1.0629305353279683,0.16426693,230
2,single_cp,hippocampus_left,biomarker,0.8956521739130435,1.2072167377326577,1.0873220440701683,0.17360392,230
2,single_cp,ventricle_right,biomarker,0.8913043478260869,0.7629508468582192,0.6744195325067182,0.1122764,230
2,single_cp,ventricle_left,biomarker,0.908695652173913,0.7308720618671406,0.6401316548052307,0.10431477,230
3,bonferroni_cp,hippocampus_right,biomarker,0.9565217391304348,1.5983300886457852,1.4469764426363554,0.17557319,230
3,bonferroni_cp,hippocampus_left,biomarker,0.9782608695652174,1.9166680210189697,1.6973122204216224,0.16510832,230
3,bonferroni_cp,ventricle_right,biomarker,0.9695652173913043,1.1505939581530356,0.9858518445261311,0.11260014,230
3,bonferroni_cp,ventricle_left,biomarker,0.9869565217391304,1.4946579407932632,1.2908056921510536,0.10624669,230
3,joint_cp,hippocampus_right,biomarker,0.9173913043478261,1.3538932858289725,1.225686548951785,0.17557319,230
3,joint_cp,hippocampus_left,biomarker,0.9478260869565217,1.5129005091049743,1.3397544562885741,0.16510832,230
3,joint_cp,ventricle_right,biomarker,0.9869565217391304,1.6835551664212718,1.4425036342465773,0.11260014,230
3,joint_cp,ventricle_left,biomarker,0.9826086956521739,1.434431780032617,1.2387936103198172,0.10624669,230
3,raw_dkgp,hippocampus_right,biomarker,0.013043478260869565,0.11232856365972953,0.1016916259072112,0.17557319,230
3,raw_dkgp,hippocampus_left,biomarker,0.043478260869565216,0.12552092762893197,0.11115550635105817,0.16510832,230
3,raw_dkgp,ventricle_right,biomarker,0.17391304347826086,0.13967964511340922,0.1196803049434183,0.11260014,230
3,raw_dkgp,ventricle_left,biomarker,0.16521739130434782,0.11901060682214436,0.10277908043016462,0.10624669,230
3,single_cp,hippocampus_right,biomarker,0.8695652173913043,1.1868340910563144,1.0744470014521532,0.17557319,230
3,single_cp,hippocampus_left,biomarker,0.8913043478260869,1.0988043174178683,0.9730500928449146,0.16510832,230
3,single_cp,ventricle_right,biomarker,0.8608695652173913,0.7153589526028523,0.6129338138137541,0.11260014,230
3,single_cp,ventricle_left,biomarker,0.9043478260869565,0.7595656954973311,0.6559706381985109,0.10624669,230
4,bonferroni_cp,hippocampus_right,biomarker,0.9521739130434783,1.388110657917503,1.2637622704962368,0.15884686,230
4,bonferroni_cp,hippocampus_left,biomarker,0.9521739130434783,1.753602244331295,1.5967146427014711,0.17059459,230
4,bonferroni_cp,ventricle_right,biomarker,0.991304347826087,1.550210106974265,1.3994501349841855,0.11333579,230
4,bonferroni_cp,ventricle_left,biomarker,0.9739130434782609,1.1634735666845437,1.0369426454049133,0.109214686,230
4,joint_cp,hippocampus_right,biomarker,0.9652173913043478,1.7099245370395755,1.5567477297150667,0.15884686,230
4,joint_cp,hippocampus_left,biomarker,0.9173913043478261,1.4392579566541068,1.3104934493799902,0.17059459,230
