model,fold,method,biomarker,scope,coverage,pointwise_coverage,mean_width,mean_normalized_width,mean_absolute_error,n_test_subjects
drmc,0,bonferroni_cp,hippocampus_left,biomarker,0.9782608695652174,0.9926086956521739,2.1561835116755756,2.1458153803958444,0.22867521431992302,230
drmc,0,bonferroni_cp,hippocampus_right,biomarker,0.9782608695652174,0.9962922705314009,1.979509201947249,1.9692423241711479,0.1776252483335452,230
drmc,0,bonferroni_cp,ventricle_left,biomarker,0.9695652173913043,0.9913416776460254,1.5800008178504596,1.5871239108065256,0.13758926682103473,230
drmc,0,bonferroni_cp,ventricle_right,biomarker,0.9695652173913043,0.9920531400966184,1.5299643725789323,1.539596707790761,0.15925407251825133,230
drmc,0,joint_cp,hippocampus_left,biomarker,0.9565217391304348,0.9833643892339544,1.718848274157425,1.7105830942875746,0.22867521431992302,230
drmc,0,joint_cp,hippocampus_right,biomarker,0.9695652173913043,0.9926690821256039,1.8830675702855681,1.8733008945008618,0.1776252483335452,230
drmc,0,joint_cp,ventricle_left,biomarker,0.9782608695652174,0.9941765480895915,1.86508507594854,1.8734934098030926,0.13758926682103473,230
drmc,0,joint_cp,ventricle_right,biomarker,0.9782608695652174,0.9959661835748792,1.6837746536845348,1.6943753462079376,0.15925407251825133,230
drmc,0,raw,hippocampus_left,biomarker,0.18695652173913044,0.5113477947173599,0.42061246761714915,0.41858992859923533,0.22867521431992302,230
drmc,0,raw,hippocampus_right,biomarker,0.34782608695652173,0.6819254658385093,0.4607979120125402,0.45840794795606526,0.1776252483335452,230
drmc,0,raw,ventricle_left,biomarker,0.6086956521739131,0.8183200012547838,0.4563974899159158,0.45845505957591703,0.13758926682103473,230
drmc,0,raw,ventricle_right,biomarker,0.45652173913043476,0.6799416525503482,0.41202974097161726,0.4146237939139036,0.15925407251825133,230
drmc,0,single_cp,hippocampus_left,biomarker,0.8956521739130435,0.9688250517598344,1.4755578716410436,1.4684625675348886,0.22867521431992302,230
drmc,0,single_cp,hippocampus_right,biomarker,0.9173913043478261,0.975011920446703,1.4076039835324523,1.4003033364620248,0.1776252483335452,230
drmc,0,single_cp,ventricle_left,biomarker,0.908695652173913,0.9639274734926909,1.0213456390192421,1.0259501555769641,0.13758926682103473,230
drmc,0,single_cp,ventricle_right,biomarker,0.9217391304347826,0.9740579710144928,1.0310332367197004,1.037524406010055,0.15925407251825133,230
drmc,0,bonferroni_cp,ALL_JOINT,joint,0.9173913043478261,,,1.8104445807910696,,230
drmc,0,joint_cp,ALL_JOINT,joint,0.9043478260869565,,,1.7879381861998669,,230
drmc,0,raw,ALL_JOINT,joint,0.034782608695652174,,,0.4375191825112803,,230
drmc,0,single_cp,ALL_JOINT,joint,0.7478260869565218,,,1.2330601163959831,,230
drmc,1,bonferroni_cp,hippocampus_left,biomarker,0.9652173913043478,0.9936992114166028,2.283701951937814,2.28481036417701,0.19177697783961123,230
drmc,1,bonferroni_cp,hippocampus_right,biomarker,0.9782608695652174,0.9944993412384717,2.163675661085869,2.1488207218065174,0.19420883897742178,230
drmc,1,bonferroni_cp,ventricle_left,biomarker,0.9739130434782609,0.9934398331137461,1.620478750638421,1.625079709833145,0.14950619829170744,230
drmc,1,bonferroni_cp,ventricle_right,biomarker,0.9565217391304348,0.9917163874772571,1.5003477327061097,1.4856511596653252,0.19601615149174267,230
drmc,1,joint_cp,hippocampus_left,biomarker,0.9347826086956522,0.9858830058830058,1.9246399697467897,1.9255741085019384,0.19177697783961123,230
