model,fold,biomarker,target_index,fit_observations,fit_subjects,calibration_observations,calibration_subjects_with_biomarker,test_observations,test_subjects_with_biomarker,outcome_scale,training_seconds
drmc,0,hippocampus_right,13,7421,1656,1894,414,1034,230,1.0052136182785034,44.81914281845093
drmc,0,hippocampus_left,14,7421,1656,1894,414,1034,230,1.0048317909240723,40.9395694732666
drmc,0,ventricle_right,17,7421,1656,1894,414,1034,230,0.9937435984611511,40.931379318237305
drmc,0,ventricle_left,18,7421,1656,1894,414,1034,230,0.9955119490623474,40.920406341552734
drmc,1,hippocampus_right,13,7482,1656,1822,414,1045,230,1.0069130659103394,42.31642150878906
drmc,1,hippocampus_left,14,7482,1656,1822,414,1045,230,0.9995148777961731,42.32820463180542
drmc,1,ventricle_right,17,7482,1656,1822,414,1045,230,1.0098923444747925,42.30133390426636
drmc,1,ventricle_left,18,7482,1656,1822,414,1045,230,0.997168779373169,42.3125696182251
drmc,2,hippocampus_right,13,7494,1656,1823,414,1032,230,0.9932356476783752,42.30030584335327
drmc,2,hippocampus_left,14,7494,1656,1823,414,1032,230,0.9901524782180786,42.30536866188049
drmc,2,ventricle_right,17,7494,1656,1823,414,1032,230,0.9957152009010315,42.30589771270752
drmc,2,ventricle_left,18,7494,1656,1823,414,1032,230,1.0058073997497559,42.319045543670654
drmc,3,hippocampus_right,13,7459,1656,1842,414,1048,230,0.9911744594573975,42.30382418632507
drmc,3,hippocampus_left,14,7459,1656,1842,414,1048,230,0.9855666756629944,42.29677414894104
drmc,3,ventricle_right,17,7459,1656,1842,414,1048,230,1.019548773765564,42.28429675102234
drmc,3,ventricle_left,18,7459,1656,1842,414,1048,230,1.0177276134490967,42.3036253452301
drmc,4,hippocampus_right,13,7423,1656,1878,414,1048,230,1.0104855298995972,40.89309215545654
drmc,4,hippocampus_left,14,7423,1656,1878,414,1048,230,1.0059542655944824,40.89398789405823
drmc,4,ventricle_right,17,7423,1656,1878,414,1048,230,1.0053496360778809,40.88066291809082
drmc,4,ventricle_left,18,7423,1656,1878,414,1048,230,1.010189414024353,40.89995980262756
drmc,5,hippocampus_right,13,7407,1656,1909,414,1033,230,1.0059655904769897,40.89486527442932
drmc,5,hippocampus_left,14,7407,1656,1909,414,1033,230,1.0075067281723022,40.899227142333984
drmc,5,ventricle_right,17,7407,1656,1909,414,1033,230,1.0155177116394043,40.893394947052
drmc,5,ventricle_left,18,7407,1656,1909,414,1033,230,1.003879189491272,40.895174741744995
drmc,6,hippocampus_right,13,7453,1656,1848,414,1048,230,1.0033411979675293,42.310938358306885
drmc,6,hippocampus_left,14,7453,1656,1848,414,1048,230,1.0067394971847534,42.30183148384094
drmc,6,ventricle_right,17,7453,1656,1848,414,1048,230,1.0026397705078125,42.30067157745361
drmc,6,ventricle_left,18,7453,1656,1848,414,1048,230,1.0022598505020142,42.29522085189819
drmc,7,hippocampus_right,13,7461,1656,1856,414,1032,230,0.9849666357040405,42.292821407318115
drmc,7,hippocampus_left,14,7461,1656,1856,414,1032,230,0.984207808971405,42.29901385307312
drmc,7,ventricle_right,17,7461,1656,1856,414,1032,230,1.0182523727416992,42.306978940963745
drmc,7,ventricle_left,18,7461,1656,1856,414,1032,230,1.0149341821670532,42.293527126312256
drmc,8,hippocampus_right,13,7445,1656,1855,414,1049,230,0.9782342910766602,42.296374559402466
drmc,8,hippocampus_left,14,7445,1656,1855,414,1049,230,0.9804940819740295,42.288676738739014
drmc,8,ventricle_right,17,7445,1656,1855,414,1049,230,1.027787685394287,42.292404651641846
drmc,8,ventricle_left,18,7445,1656,1855,414,1049,230,1.0155165195465088,42.29862976074219
drmc,9,hippocampus_right,13,7561,1656,1808,414,980,230,1.010191798210144,42.3036048412323
drmc,9,hippocampus_left,14,7561,1656,1808,414,980,230,1.009395718574524,42.30533838272095
drmc,9,ventricle_right,17,7561,1656,1808,414,980,230,0.9982009530067444,42.29585289955139
drmc,9,ventricle_left,18,7561,1656,1808,414,980,230,0.9872153401374817,42.30854654312134
