model,fold,method,biomarker,alpha_used,qhat,rank,n_calibration_subjects
drmc,8,single_cp,ventricle_right,0.1,3.571515163491823,374,414
drmc,8,bonferroni_cp,ventricle_right,0.025,6.549029689669168,405,414
drmc,8,single_cp,ventricle_left,0.1,4.27222768223768,374,414
drmc,8,bonferroni_cp,ventricle_left,0.025,6.8065450354850245,405,414
drmc,8,joint_cp,ALL,0.1,7.81953528069542,374,414
drmc,9,single_cp,hippocampus_right,0.1,5.054829593887187,374,414
drmc,9,bonferroni_cp,hippocampus_right,0.025,8.108640529325765,405,414
drmc,9,single_cp,hippocampus_left,0.1,5.966546459032069,374,414
drmc,9,bonferroni_cp,hippocampus_left,0.025,9.470939208354597,405,414
drmc,9,single_cp,ventricle_right,0.1,3.643795827514683,374,414
drmc,9,bonferroni_cp,ventricle_right,0.025,6.50482219226074,405,414
drmc,9,single_cp,ventricle_left,0.1,4.236535660817699,374,414
drmc,9,bonferroni_cp,ventricle_left,0.025,8.152726932622715,405,414
drmc,9,joint_cp,ALL,0.1,7.36286455946132,374,414
