method,biomarker,metric_scope,coverage_mean,coverage_std,width_mean,width_std,folds
bonferroni_cp,ALL_JOINT,joint,0.9530434782608695,0.025500657910635105,1.8305302455877392,0.2878353065238702,10
bonferroni_cp,hippocampus_left,biomarker,0.9817391304347826,0.017487655801737216,2.0562727028769956,0.4562325488911694,10
bonferroni_cp,hippocampus_right,biomarker,0.9826086956521738,0.011594202898550723,1.9223598840382548,0.384312371436511,10
bonferroni_cp,ventricle_left,biomarker,0.9817391304347826,0.013408734499965679,1.5759910873023975,0.4474165184598243,10
bonferroni_cp,ventricle_right,biomarker,0.9882608695652173,0.00821113940534218,1.7674973081333096,0.3166504075292419,10
joint_cp,ALL_JOINT,joint,0.9039130434782608,0.03124860845462991,1.435773629896121,0.11903562266115117,10
joint_cp,hippocampus_left,biomarker,0.947391304347826,0.020439407432248962,1.450906101950896,0.2017128980066961,10
joint_cp,hippocampus_right,biomarker,0.9630434782608696,0.014528940330263323,1.5119053205941693,0.12688341471910808,10
joint_cp,ventricle_left,biomarker,0.9800000000000001,0.015089176909936601,1.364971790904224,0.17192410567575034,10
joint_cp,ventricle_right,biomarker,0.9795652173913044,0.013603130469863542,1.4153113061351947,0.15824872103549795,10
raw_dkgp,ALL_JOINT,joint,0.0013043478260869566,0.002100199528433252,0.11871463320632128,0.007066141798112802,10
raw_dkgp,hippocampus_left,biomarker,0.029565217391304348,0.008886788241597618,0.11977797036317686,0.013641216064961987,10
raw_dkgp,hippocampus_right,biomarker,0.03956521739130435,0.014984413942681546,0.1255114727382468,0.013794130434587232,10
raw_dkgp,ventricle_left,biomarker,0.1373913043478261,0.025941624156828342,0.11277642680487987,0.011666316235128685,10
raw_dkgp,ventricle_right,biomarker,0.15130434782608698,0.031137504932164144,0.11679266291898158,0.007867824828400016,10
single_cp,ALL_JOINT,joint,0.7708695652173913,0.04160455357754597,0.9873990634597305,0.0536997428102949,10
single_cp,hippocampus_left,biomarker,0.9173913043478261,0.0157431601321742,1.2478985974931722,0.07580673827331696,10
single_cp,hippocampus_right,biomarker,0.9243478260869565,0.02435472642040581,1.2096854802092687,0.08548395579730118,10
single_cp,ventricle_left,biomarker,0.912608695652174,0.03891243623524253,0.761767306869188,0.12114314476787372,10
single_cp,ventricle_right,biomarker,0.8978260869565217,0.03150299292649878,0.7302448692672938,0.06434222340013539,10
