model,method,biomarker,scope,coverage_mean,coverage_std,normalized_width_mean,normalized_width_std,folds
dqr,bonferroni_cp,ALL_JOINT,joint,0.932608695652174,0.0160405388559265,1.7283694761170951,0.1120737207615622,10
dqr,bonferroni_cp,hippocampus_left,biomarker,0.9773913043478262,0.0138707085379772,2.012065958412771,0.2331540308570115,10
dqr,bonferroni_cp,hippocampus_right,biomarker,0.9765217391304348,0.0126676947150215,1.953585209584557,0.1786175864529425,10
dqr,bonferroni_cp,ventricle_left,biomarker,0.978695652173913,0.0103397443372388,1.444562386995323,0.1961662135445067,10
dqr,bonferroni_cp,ventricle_right,biomarker,0.9782608695652174,0.0119510307988917,1.5032643494757305,0.2510075973666373,10
dqr,joint_cp,ALL_JOINT,joint,0.9086956521739132,0.0190070681863825,1.5408372492737308,0.0679327673750985,10
dqr,joint_cp,hippocampus_left,biomarker,0.9721739130434782,0.0162938774754262,1.8934236923354448,0.1651030541506247,10
dqr,joint_cp,hippocampus_right,biomarker,0.9665217391304348,0.0183377722758105,1.7710272103568367,0.1038385804207319,10
dqr,joint_cp,ventricle_left,biomarker,0.9686956521739132,0.0106104378073757,1.2365990575154298,0.0744744712710863,10
dqr,joint_cp,ventricle_right,biomarker,0.9691304347826086,0.0142663474809561,1.2622990368872111,0.1672665633125187,10
dqr,raw,ALL_JOINT,joint,0.2752173913043478,0.0470534872865604,0.7025237379725878,0.0541762902369939,10
dqr,raw,hippocampus_left,biomarker,0.6165217391304348,0.0515176112820821,0.8222178092460215,0.1170855612272822,10
dqr,raw,hippocampus_right,biomarker,0.5856521739130435,0.059897342690771,0.7499942240231393,0.1073275866480027,10
dqr,raw,ventricle_left,biomarker,0.7086956521739131,0.0543429949543555,0.6105281603447332,0.046878919753153,10
dqr,raw,ventricle_right,biomarker,0.731304347826087,0.0688306629012792,0.6273547582764571,0.0638167594149129,10
dqr,single_cp,ALL_JOINT,joint,0.7317391304347826,0.0167828339701032,1.1114854139929862,0.0289338146441683,10
dqr,single_cp,hippocampus_left,biomarker,0.8956521739130434,0.0146369636787856,1.3498641872460264,0.1196001307206227,10
dqr,single_cp,hippocampus_right,biomarker,0.9,0.0271134593244488,1.303106915635907,0.060741973656942,10
dqr,single_cp,ventricle_left,biomarker,0.912608695652174,0.0255541400300187,0.9093593594130244,0.0442321702412107,10
dqr,single_cp,ventricle_right,biomarker,0.9034782608695652,0.0206794886744776,0.8836111936769863,0.0354067014260582,10
drmc,bonferroni_cp,ALL_JOINT,joint,0.9221739130434784,0.0213442394932758,2.0496907014517,0.1660887227094294,10
drmc,bonferroni_cp,hippocampus_left,biomarker,0.978695652173913,0.0092685663509098,2.494722198384173,0.2851678195949814,10
drmc,bonferroni_cp,hippocampus_right,biomarker,0.9730434782608696,0.0108065808013375,2.28987523153632,0.1697941646969169,10
drmc,bonferroni_cp,ventricle_left,biomarker,0.9769565217391304,0.0134478385039559,1.7568952677505607,0.3096984340881505,10
drmc,bonferroni_cp,ventricle_right,biomarker,0.9765217391304348,0.0149493298066407,1.6572701081357466,0.1447241503585057,10
drmc,joint_cp,ALL_JOINT,joint,0.8986956521739131,0.0229196380613587,1.9703461094951569,0.1926149869412174,10
drmc,joint_cp,hippocampus_left,biomarker,0.9569565217391304,0.0139687892869814,2.0633915541816816,0.2633316637914673,10
drmc,joint_cp,hippocampus_right,biomarker,0.9530434782608695,0.0198503114994364,1.986314594285406,0.2248900741497728,10
drmc,joint_cp,ventricle_left,biomarker,0.9834782608695652,0.0084007981137329,1.8790553941649637,0.1424728235419047,10
drmc,joint_cp,ventricle_right,biomarker,0.9865217391304348,0.0128732857920014,1.952622895348576,0.3442309508655554,10
drmc,raw,ALL_JOINT,joint,0.0508695652173913,0.0235523968191185,0.4500132786700499,0.0213397792835037,10
drmc,raw,hippocampus_left,biomarker,0.3017391304347826,0.0624097752456198,0.4707943527572054,0.0376755453661757,10
drmc,raw,hippocampus_right,biomarker,0.2969565217391304,0.0483306715474171,0.4539740981646091,0.0360647600592672,10
drmc,raw,ventricle_left,biomarker,0.498695652173913,0.077208436178291,0.4307767503267614,0.0354615122020663,10
drmc,raw,ventricle_right,biomarker,0.501304347826087,0.0864975811684588,0.4445079134316236,0.0568197265475578,10
drmc,single_cp,ALL_JOINT,joint,0.72,0.027665599997658,1.3035175507965016,0.0630131813472388,10
drmc,single_cp,hippocampus_left,biomarker,0.9095652173913044,0.0235300912957709,1.609636486731305,0.121210285829407,10
drmc,single_cp,hippocampus_right,biomarker,0.9047826086956524,0.0222122430859909,1.5143758578304327,0.114739242894468,10
drmc,single_cp,ventricle_left,biomarker,0.9056521739130436,0.0214032015931566,1.0568616160850977,0.1106787114651702,10
drmc,single_cp,ventricle_right,biomarker,0.8978260869565217,0.0206235499576198,1.033196242539171,0.0551762073615477,10
gam,bonferroni_cp,ALL_JOINT,joint,0.9434782608695652,0.0191172550119897,1.7980303000947786,0.1376783276232684,10
gam,bonferroni_cp,hippocampus_left,biomarker,0.9773913043478262,0.0147513166956515,2.005210549765807,0.2934521871752845,10
gam,bonferroni_cp,hippocampus_right,biomarker,0.9773913043478262,0.0162422327259384,1.9118377371990785,0.1794156696002103,10
gam,bonferroni_cp,ventricle_left,biomarker,0.9778260869565216,0.0120298585330128,1.60659413598872,0.1341161808947872,10
gam,bonferroni_cp,ventricle_right,biomarker,0.9752173913043478,0.0117828849995234,1.6684787774255092,0.2285907503823905,10
gam,joint_cp,ALL_JOINT,joint,0.9004347826086956,0.0205419126259733,1.3667601406007923,0.0823097456858315,10
gam,joint_cp,hippocampus_left,biomarker,0.9652173913043478,0.0110373523273389,1.675869335496459,0.1085577776307395,10
gam,joint_cp,hippocampus_right,biomarker,0.9634782608695652,0.0174154421864345,1.624316376819381,0.1146978690532656,10
gam,joint_cp,ventricle_left,biomarker,0.95,0.0125091858707478,1.0781857357732272,0.0562090015350117,10
gam,joint_cp,ventricle_right,biomarker,0.9456521739130436,0.0119948879400339,1.0886691143141038,0.0581428576063681,10
gam,raw,ALL_JOINT,joint,0.2517391304347826,0.0310463063164657,0.4342776482781192,0.0045068987619969,10
gam,raw,hippocampus_left,biomarker,0.4995652173913044,0.0233193765081946,0.5324209143409833,0.0096869872607366,10
gam,raw,hippocampus_right,biomarker,0.5030434782608696,0.0414528223880105,0.5158935942077854,0.0105558751437819,10
gam,raw,ventricle_left,biomarker,0.6069565217391305,0.0272833544944929,0.3427403132383763,0.0057082147179541,10
gam,raw,ventricle_right,biomarker,0.6156521739130435,0.0248667948864083,0.3460557713253323,0.0058142636277259,10
gam,single_cp,ALL_JOINT,joint,0.7934782608695652,0.0299302556928454,0.9681819203017948,0.0370386333694354,10
