model,fold,method,biomarker,scope,coverage,pointwise_coverage,mean_width,mean_normalized_width,mean_absolute_error,n_test_subjects
mlp,0,bonferroni_cp,hippocampus_left,biomarker,0.9695652173913043,0.9931953071083506,1.9104857444763184,1.9012990649105366,0.20003975930272377,230
mlp,0,bonferroni_cp,hippocampus_right,biomarker,0.9869565217391304,0.9980346947738252,1.9743855148553848,1.964145211479182,0.16619976391087526,230
mlp,0,bonferroni_cp,ventricle_left,biomarker,0.9782608695652174,0.9935334713595583,1.482837438583374,1.4895224913975453,0.12668368826409723,230
mlp,0,bonferroni_cp,ventricle_right,biomarker,0.9739130434782609,0.9923740510697032,1.7441754341125488,1.7551563972975215,0.13640575929107662,230
mlp,0,joint_cp,hippocampus_left,biomarker,0.991304347826087,0.9986473429951691,2.2712042168244464,2.2602830019298863,0.20003975930272377,230
mlp,0,joint_cp,hippocampus_right,biomarker,0.991304347826087,0.9985177865612648,2.1717970841491856,2.1605328903805896,0.16619976391087526,230
mlp,0,joint_cp,ventricle_left,biomarker,0.9130434782608695,0.9762265512265512,0.9306121468544006,0.9348076110296069,0.12668368826409723,230
mlp,0,joint_cp,ventricle_right,biomarker,0.8956521739130435,0.9596256038647344,1.0313317676359457,1.0378248164144164,0.13640575929107662,230
mlp,0,raw,hippocampus_left,biomarker,0.18695652173913044,0.5186780851998244,0.30410143311728405,0.30263914404780484,0.20003975930272377,230
mlp,0,raw,hippocampus_right,biomarker,0.19130434782608696,0.5492849300457996,0.2907913787924935,0.28928316678647226,0.16619976391087526,230
mlp,0,raw,ventricle_left,biomarker,0.12173913043478261,0.35842681473116256,0.12460371702306082,0.12516546601014938,0.12668368826409723,230
mlp,0,raw,ventricle_right,biomarker,0.1608695652173913,0.42635500972457496,0.1380895061017382,0.13895888870688067,0.13640575929107662,230
mlp,0,single_cp,hippocampus_left,biomarker,0.9260869565217391,0.9799636112679591,1.3901488780975342,1.383464268003616,0.20003975930272377,230
mlp,0,single_cp,hippocampus_right,biomarker,0.9478260869565217,0.9889455110107285,1.3583769798278809,1.35133165242448,0.16619976391087526,230
mlp,0,single_cp,ventricle_left,biomarker,0.8739130434782608,0.9613603425559948,0.7902085781097412,0.7937710630736504,0.12668368826409723,230
mlp,0,single_cp,ventricle_right,biomarker,0.8739130434782608,0.9411801242236024,0.8320556879043579,0.8372941362267159,0.13640575929107662,230
mlp,0,bonferroni_cp,ALL_JOINT,joint,0.9347826086956522,,,1.777530791271196,,230
mlp,0,joint_cp,ALL_JOINT,joint,0.8478260869565217,,,1.5983620799386247,,230
mlp,0,raw,ALL_JOINT,joint,0.008695652173913044,,,0.2140116663878268,,230
mlp,0,single_cp,ALL_JOINT,joint,0.7478260869565218,,,1.0914652799321158,,230
mlp,1,bonferroni_cp,hippocampus_left,biomarker,0.9521739130434783,0.9882111004937092,1.8228667974472046,1.8237515398134316,0.20160325144051627,230
mlp,1,bonferroni_cp,hippocampus_right,biomarker,0.9739130434782609,0.9934454796411318,2.07133024930954,2.0571093170162333,0.18997879923867786,230
mlp,1,bonferroni_cp,ventricle_left,biomarker,0.9782608695652174,0.9933833678398896,1.479056477546692,1.4832559022520166,0.12322358157505506,230
mlp,1,bonferroni_cp,ventricle_right,biomarker,0.9956521739130435,0.9992094861660079,1.9133689403533936,1.8946266409698014,0.1311718233701747,230
mlp,1,joint_cp,hippocampus_left,biomarker,0.9652173913043478,0.9922636300897171,2.1564871989109986,2.157533866495144,0.20160325144051627,230
mlp,1,joint_cp,hippocampus_right,biomarker,0.9826086956521739,0.9967701863354038,2.2666908748117565,2.2511286739163183,0.18997879923867786,230
mlp,1,joint_cp,ventricle_left,biomarker,0.9478260869565217,0.9822377501725328,1.0316841006278992,1.0346133191980067,0.12322358157505506,230
mlp,1,joint_cp,ventricle_right,biomarker,0.9478260869565217,0.9884467344249952,1.3094607302087917,1.2966339802187465,0.1311718233701747,230
mlp,1,raw,hippocampus_left,biomarker,0.1,0.4680420304333348,0.26848476616356715,0.26861507730184897,0.20160325144051627,230
mlp,1,raw,hippocampus_right,biomarker,0.18695652173913044,0.5349344978692805,0.28220523163608285,0.28026772239860065,0.18997879923867786,230
mlp,1,raw,ventricle_left,biomarker,0.16521739130434782,0.37860343762517673,0.12844567992410477,0.12881037050201985,0.12322358157505506,230
mlp,1,raw,ventricle_right,biomarker,0.2,0.45733871201262505,0.16302914208255923,0.16143219915915355,0.1311718233701747,230
mlp,1,single_cp,hippocampus_left,biomarker,0.8826086956521739,0.9662122297991863,1.2501252889633179,1.250732046850283,0.20160325144051627,230
mlp,1,single_cp,hippocampus_right,biomarker,0.9043478260869565,0.9726984247636421,1.3140157461166382,1.3049942349577623,0.18997879923867786,230
mlp,1,single_cp,ventricle_left,biomarker,0.908695652173913,0.9713157977288412,0.8565621376037598,0.8589941395299239,0.12322358157505506,230
mlp,1,single_cp,ventricle_right,biomarker,0.9,0.9714139845661585,0.9238980412483215,0.9148480492035084,0.1311718233701747,230
mlp,1,bonferroni_cp,ALL_JOINT,joint,0.9217391304347826,,,1.8146858500128709,,230
mlp,1,joint_cp,ALL_JOINT,joint,0.8913043478260869,,,1.684977459957054,,230
mlp,1,raw,ALL_JOINT,joint,0.004347826086956522,,,0.20978134234040577,,230
mlp,1,single_cp,ALL_JOINT,joint,0.7521739130434782,,,1.0823921176353695,,230
mlp,2,bonferroni_cp,hippocampus_left,biomarker,0.9695652173913043,0.9945548654244307,2.180852472782135,2.2025420536308626,0.2259202853834891,230
mlp,2,bonferroni_cp,hippocampus_right,biomarker,0.9695652173913043,0.9947670807453416,1.895871877670288,1.9087835621906717,0.20213298539557595,230
mlp,2,bonferroni_cp,ventricle_left,biomarker,0.9869565217391304,0.9967650103519669,1.6202893257141113,1.610933988074892,0.12840093864605384,230
mlp,2,bonferroni_cp,ventricle_right,biomarker,0.9739130434782609,0.9916563146997929,1.4994080066680908,1.5058603155915098,0.12478982715562603,230
mlp,2,joint_cp,hippocampus_left,biomarker,0.9869565217391304,0.9985093167701863,2.4735755920410156,2.498176438938546,0.2259202853834891,230
mlp,2,joint_cp,hippocampus_right,biomarker,0.9826086956521739,0.9968012422360248,1.9934012971297497,2.0069771979984785,0.20213298539557595,230
mlp,2,joint_cp,ventricle_left,biomarker,0.9608695652173913,0.9906314699792961,1.2108535134199105,1.203862204355595,0.12840093864605384,230
mlp,2,joint_cp,ventricle_right,biomarker,0.9304347826086956,0.9770652173913044,1.081609832397584,1.0862642565050988,0.12478982715562603,230
mlp,2,raw,hippocampus_left,biomarker,0.14782608695652175,0.5012888198757763,0.3484250376165599,0.35189028486158086,0.2259202853834891,230
mlp,2,raw,hippocampus_right,biomarker,0.10869565217391304,0.4486922015182885,0.28078823391212365,0.28270051982975863,0.20213298539557595,230
mlp,2,raw,ventricle_left,biomarker,0.18695652173913044,0.4650345065562457,0.17055944533045853,0.16957465750688808,0.12840093864605384,230
mlp,2,raw,ventricle_right,biomarker,0.2217391304347826,0.47481193926846105,0.1523543277804628,0.1530099446534471,0.12478982715562603,230
mlp,2,single_cp,hippocampus_left,biomarker,0.9130434782608695,0.9769427191166322,1.5250377655029297,1.5402049674687013,0.2259202853834891,230
mlp,2,single_cp,hippocampus_right,biomarker,0.9173913043478261,0.9790683229813665,1.3663337230682373,1.3756390301354517,0.20213298539557595,230
mlp,2,single_cp,ventricle_left,biomarker,0.9130434782608695,0.9697342995169083,0.8843438625335693,0.879237777285784,0.12840093864605384,230
mlp,2,single_cp,ventricle_right,biomarker,0.8826086956521739,0.9528830227743272,0.7808828353881836,0.7842431597725492,0.12478982715562603,230
mlp,2,bonferroni_cp,ALL_JOINT,joint,0.9217391304347826,,,1.807029979871984,,230
mlp,2,joint_cp,ALL_JOINT,joint,0.9,,,1.6988200244494296,,230
mlp,2,raw,ALL_JOINT,joint,0.004347826086956522,,,0.23929385171291864,,230
mlp,2,single_cp,ALL_JOINT,joint,0.7521739130434782,,,1.1448312336656215,,230
mlp,3,bonferroni_cp,hippocampus_left,biomarker,0.9652173913043478,0.9916425120772947,1.8973155617713928,1.925101171359169,0.2015534595324287,230
mlp,3,bonferroni_cp,hippocampus_right,biomarker,0.9478260869565217,0.9911038961038962,1.8826618194580078,1.8994252742233095,0.19991289086315314,230
mlp,3,bonferroni_cp,ventricle_left,biomarker,0.9826086956521739,0.9961490683229814,1.567215383052826,1.5399163414083907,0.14951338273403633,230
mlp,3,bonferroni_cp,ventricle_right,biomarker,0.9739130434782609,0.9950931677018633,1.7608344554901123,1.7270723096323397,0.13938897730177846,230
mlp,3,joint_cp,hippocampus_left,biomarker,0.9869565217391304,0.9973084886128364,2.2707388071674646,2.30399308665741,0.2015534595324287,230
mlp,3,joint_cp,hippocampus_right,biomarker,0.9869565217391304,0.9974929418407679,2.330998887801225,2.351754391529916,0.19991289086315314,230
mlp,3,joint_cp,ventricle_left,biomarker,0.9391304347826087,0.9827691511387163,1.2455549836158752,1.2238588863622042,0.14951338273403633,230
mlp,3,joint_cp,ventricle_right,biomarker,0.9652173913043478,0.988343685300207,1.3414959095033505,1.3157741385424053,0.13938897730177846,230
mlp,3,raw,hippocampus_left,biomarker,0.11739130434782609,0.48055461446765796,0.2885265226571015,0.2927519058647236,0.2015534595324287,230
mlp,3,raw,hippocampus_right,biomarker,0.15217391304347827,0.5083270594140159,0.29618333966547583,0.2988205929232848,0.19991289086315314,230
mlp,3,raw,ventricle_left,biomarker,0.1608695652173913,0.3975548967940272,0.15826375409913357,0.15550698635637383,0.14951338273403633,230
mlp,3,raw,ventricle_right,biomarker,0.1826086956521739,0.4506397829223916,0.1704542806535047,0.16718599937495401,0.13938897730177846,230
mlp,3,single_cp,hippocampus_left,biomarker,0.8521739130434782,0.9631468410816237,1.3261290490627289,1.3455498058217492,0.2015534595324287,230
mlp,3,single_cp,hippocampus_right,biomarker,0.8956521739130435,0.9648407992973211,1.2992626428604126,1.310831438868666,0.19991289086315314,230
mlp,3,single_cp,ventricle_left,biomarker,0.9130434782608695,0.9706521739130435,1.0127944350242615,0.9951527517189824,0.14951338273403633,230
mlp,3,single_cp,ventricle_right,biomarker,0.8608695652173913,0.9558643892339544,0.8865482807159424,0.8695496513046624,0.13938897730177846,230
mlp,3,bonferroni_cp,ALL_JOINT,joint,0.9173913043478261,,,1.772878774155802,,230
mlp,3,joint_cp,ALL_JOINT,joint,0.9043478260869565,,,1.7988451257729838,,230
mlp,3,raw,ALL_JOINT,joint,0.0,,,0.22856637112983408,,230
mlp,3,single_cp,ALL_JOINT,joint,0.7,,,1.130270911928515,,230
mlp,4,bonferroni_cp,hippocampus_left,biomarker,0.9565217391304348,0.9856865236213063,1.9432350397109985,1.9317329884402021,0.19788699296358514,230
