model,fold,method,biomarker,alpha_used,qhat,rank,n_calibration_subjects
mlp,8,single_cp,ventricle_right,0.1,9.028231779262386,374,414
mlp,8,bonferroni_cp,ventricle_right,0.025,16.22415699894777,405,414
mlp,8,single_cp,ventricle_left,0.1,8.745199419471186,374,414
mlp,8,bonferroni_cp,ventricle_left,0.025,16.38316208432657,405,414
mlp,8,joint_cp,ALL,0.1,11.649775117426218,374,414
mlp,9,single_cp,hippocampus_right,0.1,7.347169575009364,374,414
mlp,9,bonferroni_cp,hippocampus_right,0.025,9.72369926438962,405,414
mlp,9,single_cp,hippocampus_left,0.1,6.930576293211812,374,414
mlp,9,bonferroni_cp,hippocampus_left,0.025,10.293085224557707,405,414
mlp,9,single_cp,ventricle_right,0.1,9.255697363319639,374,414
mlp,9,bonferroni_cp,ventricle_right,0.025,15.971224736720458,405,414
mlp,9,single_cp,ventricle_left,0.1,10.038948556849597,374,414
mlp,9,bonferroni_cp,ventricle_left,0.025,18.177775719428496,405,414
mlp,9,joint_cp,ALL,0.1,12.254474565316166,374,414
