model,fold,method,biomarker,alpha_used,qhat,rank,n_calibration_subjects
gam,8,single_cp,ventricle_left,0.1,3.5746027442589594,374,414
gam,8,bonferroni_cp,ventricle_left,0.025,8.032853084875539,405,414
gam,8,joint_cp,ALL,0.1,5.955502600829725,374,414
gam,9,single_cp,hippocampus_right,0.1,3.4561134303839616,374,414
gam,9,bonferroni_cp,hippocampus_right,0.025,6.186638594176297,405,414
gam,9,single_cp,hippocampus_left,0.1,3.3733670648129417,374,414
gam,9,bonferroni_cp,hippocampus_left,0.025,5.774130912313683,405,414
gam,9,single_cp,ventricle_right,0.1,3.8499016484124677,374,414
gam,9,bonferroni_cp,ventricle_right,0.025,9.110128415351102,405,414
gam,9,single_cp,ventricle_left,0.1,3.758142201820657,374,414
gam,9,bonferroni_cp,ventricle_left,0.025,8.723393769668158,405,414
gam,9,joint_cp,ALL,0.1,5.02432286857197,374,414
