fold,method,biomarker,metric_scope,trajectory_coverage,mean_width,median_width,mean_absolute_error,n_test_subjects
0,bonferroni_cp,hippocampus_right,biomarker,0.9782608695652174,1.4189140040256414,1.2759890924163386,0.14376408,230
0,bonferroni_cp,hippocampus_left,biomarker,0.9782608695652174,1.7807460530398946,1.5523180669780032,0.16107643,230
0,bonferroni_cp,ventricle_right,biomarker,0.9434782608695652,0.9339931940380839,0.8255203172739538,0.10438663,230
0,bonferroni_cp,ventricle_left,biomarker,0.9739130434782609,1.2515281427720129,1.0993517504820645,0.108375944,230
0,joint_cp,hippocampus_right,biomarker,0.9391304347826087,1.1418249379112186,1.0268107595598508,0.14376408,230
0,joint_cp,hippocampus_left,biomarker,0.9739130434782609,1.5558416774579489,1.356263652053272,0.16107643,230
0,joint_cp,ventricle_right,biomarker,0.9739130434782609,1.317391972315127,1.164391610026442,0.10438663,230
0,joint_cp,ventricle_left,biomarker,0.9782608695652174,1.298053872871416,1.1402203023581308,0.108375944,230
0,raw_dkgp,hippocampus_right,biomarker,0.017391304347826087,0.10649782603815357,0.09577047235082536,0.14376408,230
0,raw_dkgp,hippocampus_left,biomarker,0.06521739130434782,0.14511309992224833,0.126498489989602,0.16107643,230
0,raw_dkgp,ventricle_right,biomarker,0.1782608695652174,0.12287293474981473,0.10860261587185926,0.10438663,230
0,raw_dkgp,ventricle_left,biomarker,0.11304347826086956,0.12106927336347971,0.10634816194139636,0.108375944,230
0,single_cp,hippocampus_right,biomarker,0.9260869565217391,1.1018359391275527,0.990849787915451,0.14376408,230
0,single_cp,hippocampus_left,biomarker,0.9304347826086956,1.3499411629527394,1.1767753481927201,0.16107643,230
0,single_cp,ventricle_right,biomarker,0.8739130434782608,0.6620842007390272,0.5851905163174749,0.10438663,230
0,single_cp,ventricle_left,biomarker,0.9173913043478261,0.7974848591707481,0.7005167090933035,0.108375944,230
1,bonferroni_cp,hippocampus_right,biomarker,0.9304347826086956,1.215077538162374,1.0975425202689308,0.15567756,230
1,bonferroni_cp,hippocampus_left,biomarker,0.9652173913043478,1.7472939640390381,1.5452595451344813,0.16927123,230
1,bonferroni_cp,ventricle_right,biomarker,1.0,1.8606944975914923,1.6612119802271152,0.103531115,230
1,bonferroni_cp,ventricle_left,biomarker,1.0,2.1774962391228905,1.8865417683880281,0.102754325,230
1,joint_cp,hippocampus_right,biomarker,0.9391304347826087,1.247342364360135,1.1266863547559751,0.15567756,230
1,joint_cp,hippocampus_left,biomarker,0.9043478260869565,1.1963162324100003,1.0579897345135976,0.16927123,230
1,joint_cp,ventricle_right,biomarker,0.9695652173913043,1.0952913326514868,0.9778666438766663,0.103531115,230
1,joint_cp,ventricle_left,biomarker,0.9869565217391304,1.4333537372965934,1.2418307070759056,0.102754325,230
1,raw_dkgp,hippocampus_right,biomarker,0.05652173913043478,0.12456382591856185,0.11251470884710676,0.15567756,230
1,raw_dkgp,hippocampus_left,biomarker,0.021739130434782608,0.11946818385657297,0.10565443207822245,0.16927123,230
1,raw_dkgp,ventricle_right,biomarker,0.1,0.10937949578943192,0.0976530693414765,0.103531115,230
1,raw_dkgp,ventricle_left,biomarker,0.1782608695652174,0.14313955054667196,0.12401341318658704,0.102754325,230
1,single_cp,hippocampus_right,biomarker,0.9260869565217391,1.1311437795698527,1.021727713354963,0.15567756,230
1,single_cp,hippocampus_left,biomarker,0.9043478260869565,1.181814120660388,1.0451644589349574,0.16927123,230
1,single_cp,ventricle_right,biomarker,0.9347826086956522,0.7765562008954527,0.693302670544254,0.103531115,230
1,single_cp,ventricle_left,biomarker,0.9521739130434783,0.8329965381421732,0.721692526440755,0.102754325,230
2,bonferroni_cp,hippocampus_right,biomarker,0.9782608695652174,1.7682856688667108,1.5431706529661753,0.16501568,230
2,bonferroni_cp,hippocampus_left,biomarker,0.991304347826087,2.527633688108653,2.216579543176522,0.16952762,230
