method,biomarker,metric_scope,coverage_mean,coverage_std,width_mean,width_std,folds
bonferroni_cp,ALL_JOINT,joint,0.9404347826086956,0.018901795755899252,1.5439522429241288,0.06931586132087392,10
bonferroni_cp,hippocampus_left,biomarker,0.981304347826087,0.009624323313555993,1.873163801279749,0.06828223502528964,10
bonferroni_cp,hippocampus_right,biomarker,0.9765217391304348,0.01590245417315387,1.67385573073026,0.10391751175546003,10
bonferroni_cp,ventricle_left,biomarker,0.9765217391304347,0.010490991925132693,1.2813566431125714,0.08536027148212673,10
bonferroni_cp,ventricle_right,biomarker,0.9769565217391305,0.011603257334056899,1.3474327965739354,0.14700938152292978,10
joint_cp,ALL_JOINT,joint,0.9134782608695652,0.020232839145265247,1.4364685052583468,0.03698416037594841,10
joint_cp,hippocampus_left,biomarker,0.9543478260869565,0.01300315829342489,1.4667622028872491,0.10930753507626054,10
joint_cp,hippocampus_right,biomarker,0.961304347826087,0.016326072483059628,1.503657830850089,0.10855264007868762,10
joint_cp,ventricle_left,biomarker,0.9821739130434782,0.007231869536159223,1.397263776371808,0.11509426799448069,10
joint_cp,ventricle_right,biomarker,0.9791304347826086,0.009786633632541524,1.3781902109242405,0.0942627202870627,10
raw_dkgp,ALL_JOINT,joint,0.0013043478260869566,0.002100199528433252,0.12496526449181648,0.0049787716538174185,10
raw_dkgp,hippocampus_left,biomarker,0.03695652173913043,0.009667872510236474,0.1277762931364099,0.012395653468077285,10
raw_dkgp,hippocampus_right,biomarker,0.04217391304347826,0.013131746423274545,0.1309170860998249,0.011765039186068173,10
raw_dkgp,ventricle_left,biomarker,0.14695652173913043,0.02709796148990202,0.12138998190987312,0.008379272153073243,10
raw_dkgp,ventricle_right,biomarker,0.13304347826086957,0.033440282115570055,0.11977769682115805,0.007012518341649988,10
single_cp,ALL_JOINT,joint,0.7447826086956522,0.03932052593384714,0.946234746661504,0.031978030799194236,10
single_cp,hippocampus_left,biomarker,0.8965217391304348,0.02558289178390287,1.173209751380718,0.06163337928563677,10
single_cp,hippocampus_right,biomarker,0.9039130434782608,0.021926726806712527,1.163017203006015,0.058934563140772396,10
single_cp,ventricle_left,biomarker,0.9008695652173913,0.02702033898300619,0.714150300705982,0.05206098178800143,10
single_cp,ventricle_right,biomarker,0.9013043478260869,0.023192934340411277,0.7345617315533003,0.029595018499610846,10
