fold,method,biomarker,alpha_used,qhat,rank,n_calibration_subjects
0,single_cp,hippocampus_right,0.1,12.917433738708496,374,414
0,bonferroni_cp,hippocampus_right,0.025,19.387863159179688,405,414
0,single_cp,hippocampus_left,0.1,15.667437553405762,374,414
0,bonferroni_cp,hippocampus_left,0.025,24.154516220092773,405,414
0,single_cp,ventricle_right,0.1,10.223382949829102,374,414
0,bonferroni_cp,ventricle_right,0.025,16.890634536743164,405,414
0,single_cp,ventricle_left,0.1,11.060873031616211,374,414
0,bonferroni_cp,ventricle_left,0.025,17.243833541870117,405,414
0,joint_cp,ALL,0.1,18.918193817138672,374,414
1,single_cp,hippocampus_right,0.1,15.581927299499512,374,414
1,bonferroni_cp,hippocampus_right,0.025,20.294248580932617,405,414
1,single_cp,hippocampus_left,0.1,16.70454978942871,374,414
1,bonferroni_cp,hippocampus_left,0.025,25.592763900756836,405,414
1,single_cp,ventricle_right,0.1,9.684983253479004,374,414
1,bonferroni_cp,ventricle_right,0.025,16.741004943847656,405,414
1,single_cp,ventricle_left,0.1,10.264750480651855,374,414
1,bonferroni_cp,ventricle_left,0.025,18.231082916259766,405,414
1,joint_cp,ALL,0.1,19.605993270874023,374,414
2,single_cp,hippocampus_right,0.1,13.225570678710938,374,414
2,bonferroni_cp,hippocampus_right,0.025,20.188922882080078,405,414
2,single_cp,hippocampus_left,0.1,14.034920692443848,374,414
2,bonferroni_cp,hippocampus_left,0.025,21.389057159423828,405,414
2,single_cp,ventricle_right,0.1,10.964668273925781,374,414
2,bonferroni_cp,ventricle_right,0.025,18.38002586364746,405,414
2,single_cp,ventricle_left,0.1,10.24314022064209,374,414
2,bonferroni_cp,ventricle_left,0.025,17.36960792541504,405,414
2,joint_cp,ALL,0.1,17.711153030395508,374,414
3,single_cp,hippocampus_right,0.1,15.719257354736328,374,414
3,bonferroni_cp,hippocampus_right,0.025,20.588083267211914,405,414
3,single_cp,hippocampus_left,0.1,16.430540084838867,374,414
3,bonferroni_cp,hippocampus_left,0.025,24.524932861328125,405,414
3,single_cp,ventricle_right,0.1,10.246713638305664,374,414
3,bonferroni_cp,ventricle_right,0.025,18.63978385925293,405,414
3,single_cp,ventricle_left,0.1,10.017695426940918,374,414
3,bonferroni_cp,ventricle_left,0.025,17.30219078063965,405,414
3,joint_cp,ALL,0.1,19.529041290283203,374,414
4,single_cp,hippocampus_right,0.1,17.6581974029541,374,414
4,bonferroni_cp,hippocampus_right,0.025,25.082517623901367,405,414
4,single_cp,hippocampus_left,0.1,12.765029907226562,374,414
4,bonferroni_cp,hippocampus_left,0.025,22.069978713989258,405,414
4,single_cp,ventricle_right,0.1,10.349708557128906,374,414
4,bonferroni_cp,ventricle_right,0.025,19.605560302734375,405,414
4,single_cp,ventricle_left,0.1,9.60632038116455,374,414
4,bonferroni_cp,ventricle_left,0.025,16.790054321289062,405,414
4,joint_cp,ALL,0.1,19.585723876953125,374,414
5,single_cp,hippocampus_right,0.1,14.918322563171387,374,414
5,bonferroni_cp,hippocampus_right,0.025,21.66929817199707,405,414
5,single_cp,hippocampus_left,0.1,13.93165111541748,374,414
5,bonferroni_cp,hippocampus_left,0.025,21.621095657348633,405,414
5,single_cp,ventricle_right,0.1,9.578393936157227,374,414
5,bonferroni_cp,ventricle_right,0.025,17.49931526184082,405,414
5,single_cp,ventricle_left,0.1,10.23444938659668,374,414
5,bonferroni_cp,ventricle_left,0.025,18.07345962524414,405,414
5,joint_cp,ALL,0.1,17.998920440673828,374,414
6,single_cp,hippocampus_right,0.1,15.239181518554688,374,414
